GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol | 15.92%               | 16.01% (+0.55%)      | 16.29% (+2.36%)      | 15.57% (-2.18%)      |
| 0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol | 18.60%               | 18.08% (-2.80%)      | 18.09% (-2.73%)      | 17.86% (-3.97%)      |
| 0xbaa3de6504690efb064420d89e871c27065cdd52.sol | 19.14%               | 18.61% (-2.80%)      | 19.02% (-0.64%)      | 19.27% (+0.70%)      |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 28.38%               | 29.11% (+2.58%)      | 29.90% (+5.36%)      | 28.84% (+1.60%)      |
----------------------------------------------------------------------------------------------------------------------------------------------


DETAILED CRITICAL INSTRUCTIONS HITS RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| instruction                                   | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| CALL                                          | 88.82                | 763.34 (+759.43%)    | 587.87 (+561.88%)    | 251.85 (+183.55%)    |
| SELFDESCTRUCT                                 | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
| CALLCODE                                      | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
| DELEGATECALL                                  | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 22.20                | 190.83 (+759.43%)    | 146.97 (+561.88%)    | 62.96 (+183.55%)     |
----------------------------------------------------------------------------------------------------------------------------------------------


VULNERABILITIES RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| vulnerability type                            | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| BD (7)                                        | 57.14% (4)           | 71.43% (05,+25.00%)  | 71.43% (05,+25.00%)  | 71.43% (05,+25.00%)  |
| ME (43)                                       | 53.49% (23)          | 79.07% (34,+47.83%)  | 67.44% (29,+26.09%)  | 76.74% (33,+43.48%)  |
| RE (18)                                       | 33.33% (6)           | 88.89% (16,+166.67%) | 72.22% (13,+116.67%) | 77.78% (14,+133.33%) |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE (68)                                  | 47.99% (33)          | 79.80% (55,+66.28%)  | 70.36% (47,+46.63%)  | 75.32% (52,+56.95%)  |
----------------------------------------------------------------------------------------------------------------------------------------------
